"email";"nome";"azienda";"oggetto";"corpo"
"info@goodvibes.cloud";"";"Good Vibes Food Project";"Good Vibes Food Project - Una pagina dedicata ai vostri eventi";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Good Vibes Food Project ho pensato a una pagina eventi con richiesta guidata per sede, data e numero di ospiti. Dal vostro sito emerge questo punto: eventi nelle proprie sedi e in location esterne.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@il-noce.it";"";"Vivaio Il Noce";"Vivaio Il Noce - Consegne e orari stagionali sul sito";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Vivaio Il Noce ho pensato a una pagina richieste consegna e un pannello semplice per aggiornare gli orari stagionali. Dal vostro sito emerge questo punto: consegne a domicilio e allestimento fioriere.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@ts-serramenti.it";"";"Serramenti TS";"Serramenti TS - Consulenze organizzate per showroom";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Serramenti TS ho pensato a un percorso unico per prenotare la consulenza nella sede desiderata. Dal vostro sito emerge questo punto: showroom a Porto Mantovano e Verona, appuntamenti da organizzare.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@roma-ristrutturazione.it";"";"ProService – Ristrutturazione Roma";"ProService – Ristrutturazione Roma - Sopralluoghi organizzati mentre siete in cantiere";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per ProService – Ristrutturazione Roma ho pensato a un modulo per prenotare il ricontatto e organizzare le richieste di sopralluogo. Dal vostro sito emerge questo punto: la pagina spiega che il team è spesso in cantiere e riceve solo su appuntamento.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@habitat.roma.it";"";"Habitat Roma";"Habitat Roma - Un percorso per i lavori dopo l'acquisto";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Habitat Roma ho pensato a una pagina dedicata ai lavori post-acquisto con richiesta guidata e seguito in dashboard. Dal vostro sito emerge questo punto: ristrutturazioni proposte anche dopo vendita o locazione.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@mm-arredamenti.it";"";"M&M Arredamenti";"M&M Arredamenti - Progetti e foto nella richiesta di arredo";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per M&M Arredamenti ho pensato a un caricamento guidato dei progetti con foto e misure, più recapiti e orari uniformi. Dal vostro sito emerge questo punto: la pagina invita a inviare i propri progetti per il preventivo.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"stylarredo.sg@gmail.com";"";"Stylarredo";"Stylarredo - Un portfolio organizzato per settore";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Stylarredo ho pensato a un portfolio diviso per settore con scheda richiesta e informazioni di sede uniformi. Dal vostro sito emerge questo punto: arredi per privati, negozi, uffici e allestimenti.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@bergamaschiserramenti.it";"";"Bergamaschi Serramenti";"Bergamaschi Serramenti - Sopralluoghi e richieste da seguire";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Bergamaschi Serramenti ho pensato a un registro condiviso di richieste e sopralluoghi con promemoria interni. Dal vostro sito emerge questo punto: richieste di informazioni e assistenza su canali diversi.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@milanoserramenti.net";"";"Milano Serramenti SRL";"Milano Serramenti SRL - Foto e quantità nel preventivo infissi";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Milano Serramenti SRL ho pensato a un modulo preventivi con foto, quantità e misure indicative. Dal vostro sito emerge questo punto: preventivi gratuiti richiesti via telefono o email.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@nericatering.it";"";"Neri Catering";"Neri Catering - Dalle richieste evento al preventivo";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Neri Catering ho pensato a un pannello a valle del modulo esistente per assegnare le richieste e monitorare i preventivi. Dal vostro sito emerge questo punto: preventivi con campi dedicati all'evento.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@rinascitanettuno.it";"";"Rinascita Nettuno";"Rinascita Nettuno - Richieste trasloco per privati e aziende";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Rinascita Nettuno ho pensato a una raccolta richieste distinta per privati e aziende con stato del sopralluogo. Dal vostro sito emerge questo punto: traslochi civili, commerciali e industriali con custodia beni.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@bolognaserramenti.it";"";"Bologna Serramenti";"Bologna Serramenti - Foto e quantità prima del sopralluogo";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Bologna Serramenti ho pensato a un modulo sopralluogo con foto e numero di infissi da sostituire. Dal vostro sito emerge questo punto: rilievo misure e preventivi personalizzati a domicilio.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@pancaldiserramenti.com";"";"Pancaldi Serramenti";"Pancaldi Serramenti - Un modulo dedicato all'assistenza";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Pancaldi Serramenti ho pensato a un modulo assistenza separato dai nuovi preventivi con foto e dati dell'intervento. Dal vostro sito emerge questo punto: vendita e posa con manutenzione post-vendita.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@finestrissima.it";"";"Finestrissima";"Finestrissima - Consulenze showroom con un brief iniziale";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Finestrissima ho pensato a una prenotazione di consulenza con orario preferito e informazioni sugli infissi. Dal vostro sito emerge questo punto: consulenza in showroom preferibilmente su appuntamento.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@smartsystemsimpianti.it";"";"SmartSystems Impianti";"SmartSystems Impianti - Foto e dettagli nelle richieste di intervento";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per SmartSystems Impianti ho pensato a una scheda intervento con foto e zona, raccolta in una dashboard delle richieste. Dal vostro sito emerge questo punto: installazioni civili e industriali e interventi tecnici.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@falegnameriapirondini.com";"";"Falegnameria Pirondini";"Falegnameria Pirondini - Foto e misure già nella richiesta preventivo";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Falegnameria Pirondini ho pensato a un modulo preventivo con foto e misure indicative, collegato a un elenco delle richieste. Dal vostro sito emerge questo punto: consulenza personalizzata per infissi e serramenti.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@mirtillocatering.com";"";"Mirtillo Catering";"Mirtillo Catering - Richieste catering private e aziendali";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Mirtillo Catering ho pensato a un brief digitale distinto per evento privato e aziendale, con elenco delle richieste. Dal vostro sito emerge questo punto: catering su misura e ristorazione collettiva.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@traslochicannone.com";"";"Traslochi Cannone";"Traslochi Cannone - Preparare il sopralluogo per il trasloco";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Traslochi Cannone ho pensato a una scheda sopralluogo che raccolga indirizzi, piani e foto prima del preventivo. Dal vostro sito emerge questo punto: contatti via telefono, WhatsApp ed email.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@dagaserramenti.it";"";"Daga Serramenti";"Daga Serramenti - Richieste assegnate allo showroom giusto";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Daga Serramenti ho pensato a un pannello per assegnare i nuovi contatti allo showroom corretto e seguirne l'esito. Dal vostro sito emerge questo punto: più showroom con recapiti distinti.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@asserramentisrl.it";"";"Asserramenti";"Asserramenti - Preventivi condivisi tra showroom e ufficio";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Asserramenti ho pensato a un pannello preventivi per passare richieste e allegati dallo showroom all'ufficio competente. Dal vostro sito emerge questo punto: showroom Bologna, sede operativa a Casalecchio e produzione a Scandale.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"serramenti@budani.it";"";"Budani";"Budani - Preventivi edilizia e serramenti in un solo pannello";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Budani ho pensato a una dashboard che separi le richieste di edilizia e serramenti e mostri quali preventivi richiamare. Dal vostro sito emerge questo punto: due linee di attività e richiesta di offerta online.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"agriturismo.corte.vignola@gmail.com";"";"Corte Vignola";"Corte Vignola - Richieste soggiorno per camere e appartamenti";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Corte Vignola ho pensato a una richiesta soggiorno che distingua camera, appartamento e servizi per ciclisti. Dal vostro sito emerge questo punto: camere e appartamenti, con interesse per il cicloturismo.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@stefra.it";"";"Stefra";"Stefra - Brief e materiali per i nuovi progetti";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Stefra ho pensato a un primo modulo di area progetto per raccogliere brief e materiali dai clienti. Dal vostro sito emerge questo punto: progettazione e produzione di ambienti commerciali.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"agriturismoalbana@gmail.com";"";"Agriturismo Albana";"Agriturismo Albana - Date e informazioni per l'arrivo";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Agriturismo Albana ho pensato a una richiesta soggiorno guidata con email di conferma e informazioni per l'arrivo. Dal vostro sito emerge questo punto: check-in in autonomia e regolamento della struttura.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"aziendaagricolacasavilli@hotmail.it";"";"Casa Villi";"Casa Villi - Un percorso dedicato alle richieste soggiorno";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Casa Villi ho pensato a un percorso soggiorni distinto dal ristorante, con date e ospiti nella richiesta. Dal vostro sito emerge questo punto: camere e appartamenti con contatto per prenotazioni.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@lezrent.com";"";"LezRent – Lez Group";"LezRent – Lez Group - Articoli, date e ritiro in una scheda";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per LezRent – Lez Group ho pensato a una scheda richiesta con data, articoli e modalità di ritiro, visibile al team. Dal vostro sito emerge questo punto: noleggio con ritiro merce in magazzino.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"commerciale@rentaltime.it";"";"Rental Time";"Rental Time - Una lista articoli per chiedere il noleggio";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Rental Time ho pensato a un carrello di richiesta preventivo per articoli e quantità, senza pagamento online. Dal vostro sito emerge questo punto: numerose categorie di materiali a noleggio per eventi.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@viss.it";"";"Viss";"Viss - Un pannello per le richieste degli showroom";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Viss ho pensato a un primo pannello condiviso per i nuovi preventivi tra showroom e logistica. Dal vostro sito emerge questo punto: tre showroom e una sede logistica.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"ronchigiardini@gmail.com";"";"Ronchi Giardini";"Ronchi Giardini - Un portfolio per i progetti di giardino";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Ronchi Giardini ho pensato a un portfolio dei lavori e una richiesta guidata per sopralluoghi e manutenzioni. Dal vostro sito emerge questo punto: progettazione, potature e impianti di irrigazione.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@lafalegnameriarampini.it";"";"La Falegnameria Rampini";"La Falegnameria Rampini - Disegni e aggiornamenti per il cliente";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per La Falegnameria Rampini ho pensato a una piccola area progetto per condividere disegni approvati e aggiornamenti con il cliente. Dal vostro sito emerge questo punto: produzione personalizzata seguita dal cliente nelle varie fasi.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@quadraserramenti.com";"";"Quadra Serramenti";"Quadra Serramenti - Un'area cliente per seguire il proprio intervento";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Quadra Serramenti ho pensato a una piccola area cliente per consultare avanzamento e documenti del proprio intervento. Dal vostro sito emerge questo punto: processo dichiarato in dieci fasi e assistenza post-vendita.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@agriturismo-sangirolamo.it";"";"Corte San Girolamo";"Corte San Girolamo - Richieste per gruppi di ciclisti";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Corte San Girolamo ho pensato a una richiesta dedicata ai gruppi di ciclisti con data, persone e necessità di ristoro. Dal vostro sito emerge questo punto: ristoro per gruppi e ciclisti su prenotazione, oltre alle camere.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"catering@farsiprossimo.it";"";"M’ama Food";"M’ama Food - Un brief per catering e degustazioni";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per M’ama Food ho pensato a un modulo per scegliere tipo di evento, preferenze alimentari e appuntamento degustazione. Dal vostro sito emerge questo punto: catering per eventi e degustazioni su richiesta.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@milanoserramenti.it";"";"Milano Serramenti by Piesseti";"Milano Serramenti by Piesseti - Consulenze per sede e prodotto";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Milano Serramenti by Piesseti ho pensato a una richiesta di consulenza per sede con data preferita e tipo di serramento. Dal vostro sito emerge questo punto: showroom Milano e sede a Verano Brianza.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"amm.pirontifalegnameria@gmail.com";"";"Falegnameria Pironti Franco";"Falegnameria Pironti Franco - Foto del danno nella richiesta di riparazione";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Falegnameria Pironti Franco ho pensato a una richiesta riparazione con foto del danno e zona, consultabile da dashboard. Dal vostro sito emerge questo punto: ripristino e restauro di porte e finestre.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"info@falegnameriaprando.it";"";"Falegnameria Prando";"Falegnameria Prando - Una scheda per casa e attività commerciali";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Falegnameria Prando ho pensato a una scheda richiesta che distingua casa e negozio e raccolga foto e misure. Dal vostro sito emerge questo punto: arredi per abitazioni e attività commerciali.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"aj.falegnameria84@gmail.com";"";"AJ Falegnameria";"AJ Falegnameria - Un modulo per i nuovi progetti";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per AJ Falegnameria ho pensato a una pagina richiesta progetto con fotografie e misure indicative. Dal vostro sito emerge questo punto: laboratorio con contatto diretto.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
"hello@arbaro.it";"";"Arbaro";"Arbaro - Richieste su misura accanto allo shop";"Buongiorno,

sono il titolare di Tia Designs, mi occupo di siti web e strumenti digitali su misura.

Per Arbaro ho pensato a un modulo su misura per raccogliere i progetti personalizzati accanto allo shop esistente. Dal vostro sito emerge questo punto: vendita di prodotti, eventi ed esposizioni comunicati agli iscritti.

Se non avete già uno strumento equivalente, partirei da una prima versione essenziale, con perimetro e preventivo concordati.

Ha senso sentirci 10 minuti per capire come gestite oggi queste richieste e se l'idea può esservi utile?

Tia Designs
https://tiadesigns.it"
